core_name,core_no.,core_depth,obs_sand_pct,obs_silt_pct,obs_clay_pct,obs_texture,wss1,wss1_silt_pct,wss1_sand_pct,wss1_clay_pct,wss1_texture,wss1_txt_mtd,wss1_ksat,wss1_ksat_mtd,wss2,wss2_silt_pct,wss2_sand_pct,wss2_clay_pct,wss2_texture,wss2_txt_mtd,wss2_ksat,wss2_ksat_mtd,longitude,latitude,wss3,wss3_silt_pct,wss3_sand_pct,wss3_clay_pct,wss3_texture,wss3txt_mtd,wss3_ksat,wss3_ksat_mtd,wss4,wss4_silt_pct,wss4_sand_pct,wss4_clay_pct,wss4_texture,wss4txt_mtd,wss4_ksat,wss4_ksat_mtd,wss5,wss5_silt_pct,wss5_sand_pct,wss5_clay_pct,wss5_texture,wss5txt_mtd,wss5_ksat,wss5_ksat_mtd,wss6,wss6_silt_pct,wss6_sand_pct,wss6_clay_pct,wss6_texture,wss6_txt_mtd,wss6_ksat,wss6_ksat_mtd
uic,GH Ne,70-80,77.7,14.8,7.5,Loamy Sand,Orthents,34.5,38,27.5,Loam,1,10.152,1,Orthents,34.5,38,27.5,Loam,1,10.152,1,-87.6462271,41.8689701,Orthents,41,11.0,48.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
jwp,Swale-1,0-10,35.7,64.3,0,Silt Loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jwp,Swale-1,10-20,35.6,64.4,0,Silt Loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jwp,Swale-1,20-30,31.9,20.1,48,Clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jwp,Swale-1,30-40,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jwp,Swale-1,40-50,37.4,62.6,0,Silt Loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jwp,Swale-1,50-60,24.6,17.3,58.1,Clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jwp,Swale-1,60-70,25,20.1,54.9,Clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jwp,Swale-1,70-80,32.7,15.1,52.2,Clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jwp,Swale-1,80-90,33.5,64.9,1.6,Silt Loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
